timeStamp,availableMW,windSpeed,windPower
2018-12-01 11:35,77.4,2.8,0
2018-12-01 11:40,77.4,2.8,0
2018-12-01 11:45,77.4,3.2,0
2018-12-01 11:50,77.4,3.2,0
2018-12-01 11:55,77.4,2.8,0
2018-12-01 12:00,77.4,2.8,0
2018-12-01 12:05,77.4,2.9,0
2018-12-01 12:10,77.4,2.9,0
2018-12-01 12:15,78.1,2.7,0
2018-12-01 12:20,79.2,2.7,0
2018-12-01 12:25,79.2,3,0
2018-12-01 12:30,79.2,3,0
2018-12-01 12:35,79.2,3.5,0
2018-12-01 12:40,79.2,3.5,0
2018-12-01 12:45,81,3.2,0
2018-12-01 12:50,81,3.2,0
2018-12-01 12:55,81,3.3,0
2018-12-01 13:00,81,3.3,0
2018-12-01 13:05,81,3,0
2018-12-01 13:10,81,3,0
2018-12-01 13:15,81,3.5,0
2018-12-01 13:20,81,3.5,0
2018-12-01 13:25,81,3.8,0
2018-12-01 13:30,81,3.8,0
2018-12-01 13:35,81,4.2,0.807042
2018-12-01 13:40,81,4.2,0.807042
2018-12-01 13:45,82.8,4.1,0.307329
2018-12-01 13:50,82.8,4.1,0.307329
2018-12-01 13:55,82.8,3.9,0
2018-12-01 14:00,82.8,3.9,0
2018-12-01 14:05,82.8,3.7,0
2018-12-01 14:10,82.8,3.7,0
2018-12-01 14:15,82.8,3.9,0
2018-12-01 14:20,82.8,3.9,0
2018-12-01 14:25,82.8,3.8,0
2018-12-01 14:30,82.8,3.8,0
2018-12-01 14:35,83.9,3.5,0
2018-12-01 14:40,84.6,3.5,0
2018-12-01 14:45,86.2,3.8,0
2018-12-01 14:50,86.4,3.8,0
2018-12-01 14:55,86.4,3.8,0
2018-12-01 15:00,86.4,3.8,0
2018-12-01 15:05,86.4,4.1,0.307329
2018-12-01 15:10,86.4,4.1,0.307329
2018-12-01 15:15,86.4,4.4,2.19283
2018-12-01 15:20,86.4,4.4,2.19283
2018-12-01 15:25,86.6,4.6,3.86562
2018-12-01 15:30,88.2,4.6,3.86562
2018-12-01 15:35,88.2,4.8,5.65763
2018-12-01 15:40,88.2,4.8,5.65763
2018-12-01 15:45,89.9,4.8,5.65763
2018-12-01 15:50,90,4.8,5.65763
2018-12-01 15:55,90,4.6,3.86562
2018-12-01 16:00,90,4.6,3.86562
2018-12-01 16:05,90,4.7,4.75351
2018-12-01 16:10,90,4.7,4.75351
2018-12-01 16:15,90,4.9,6.56988
2018-12-01 16:20,90,4.9,6.56988
2018-12-01 16:25,90,4.9,6.56988
2018-12-01 16:30,90,4.9,6.56988
2018-12-01 16:35,90,4.8,5.65763
2018-12-01 16:40,90,4.8,5.65763
2018-12-01 16:45,90,4.8,5.65763
2018-12-01 16:50,90,4.8,5.65763
2018-12-01 16:55,93.6,4.9,6.56988
2018-12-01 17:00,93.6,4.9,6.56988
2018-12-01 17:05,93.6,4.7,4.75351
2018-12-01 17:10,93.6,4.7,4.75351
2018-12-01 17:15,93.6,4.5,3.00625
2018-12-01 17:20,93.6,4.5,3.00625
2018-12-01 17:25,93.6,4.6,3.86562
2018-12-01 17:30,93.6,4.6,3.86562
2018-12-01 17:35,93.6,4.6,3.86562
2018-12-01 17:40,93.6,4.6,3.86562
2018-12-01 17:45,93.6,4.7,4.75351
2018-12-01 17:50,93.6,4.7,4.75351
2018-12-01 17:55,95.2,4.7,4.75351
2018-12-01 18:00,95.4,4.7,4.75351
2018-12-01 18:05,95.4,4.6,3.86562
2018-12-01 18:10,95.4,4.6,3.86562
2018-12-01 18:15,95.4,4.5,3.00625
2018-12-01 18:20,95.4,4.5,3.00625
2018-12-01 18:25,95.4,4.6,3.86562
2018-12-01 18:30,95.4,4.6,3.86562
2018-12-01 18:35,97.2,4.6,3.86562
2018-12-01 18:40,97.2,4.6,3.86562
2018-12-01 18:45,97.2,4.7,4.75351
2018-12-01 18:50,97.2,4.7,4.75351
2018-12-01 18:55,97.2,4.8,5.65763
2018-12-01 19:00,97.2,4.8,5.65763
2018-12-01 19:05,97.2,4.8,5.65763
2018-12-01 19:10,97.2,4.8,5.65763
2018-12-01 19:15,97.2,4.7,4.75351
2018-12-01 19:20,97.2,4.7,4.75351
2018-12-01 19:25,97.2,4.7,4.75351
2018-12-01 19:30,97.2,4.7,4.75351
2018-12-01 19:35,97.2,4.6,3.86562
2018-12-01 19:40,97.2,4.6,3.86562
2018-12-01 19:45,97.2,4.6,3.86562
2018-12-01 19:50,97.2,4.6,3.86562
2018-12-01 19:55,97.2,4.5,3.00625
2018-12-01 20:00,97.2,4.5,3.00625
2018-12-01 20:05,97.2,4.5,3.00625
2018-12-01 20:10,97.2,4.5,3.00625
2018-12-01 20:15,97.2,4.6,3.86562
2018-12-01 20:20,97.2,4.6,3.86562
2018-12-01 20:25,97.2,4.4,2.19283
2018-12-01 20:30,97.2,4.4,2.19283
2018-12-01 20:35,97.2,4.5,3.00625
2018-12-01 20:40,97.2,4.5,3.00625
2018-12-01 20:45,97.2,4.5,3.00625
2018-12-01 20:50,97.2,4.5,3.00625
2018-12-01 20:55,97.2,4.5,3.00625
2018-12-01 21:00,97.2,4.5,3.00625
2018-12-01 21:05,97.2,4.7,4.75351
2018-12-01 21:10,97.2,4.7,4.75351
2018-12-01 21:15,97.2,4.7,4.75351
