farm,availableMW,y,windspeed,speed_rolling_lag,speed_rolling_n,windDic_cat,season,preds
A,39.0,39.7497,31.90290660248794,32.59250980385915,30.217701655650092,SE,Winter,40.116238
A,39.0,38.559,31.793761570171686,32.5160827512002,30.049150646384373,SE,Winter,40.019775
A,39.0,38.559,31.684616537855437,32.43960036278048,29.87056166676689,SE,Winter,39.926807
A,37.5,36.7792,31.575471505539195,32.3630626386,29.681934716797645,SE,Winter,40.036686
A,37.5,36.7792,31.466326473222942,32.28646957865875,29.483269796476645,SE,Winter,39.765778
A,34.4,37.1902,31.357181440906693,32.209821182956745,29.274566905803876,SE,Winter,40.81417
A,34.5,37.1902,31.24803640859044,32.13311745149397,29.05582604477935,SE,Winter,40.45052
A,34.8,38.8381,31.13889137627419,32.05635838427043,28.827047213403066,SE,Winter,40.05146
A,34.5,38.8381,31.029746343957942,31.979543981286138,28.588230411675017,SE,Winter,39.82608
A,33.9,34.8429,30.92060131164169,31.90267424254107,28.339375639595207,SE,Winter,38.83907
A,30.0,34.8429,30.811456279325448,31.82574916803524,28.080482897163645,SE,Winter,39.339005
A,20.1,31.7893,30.702311247009195,31.748768757768648,27.811552184380314,SE,Winter,35.19457
A,15.7,31.104,30.593166214692946,31.671733011741292,27.532583501245224,SE,Winter,32.862232
A,10.4,29.671999999999997,30.385285169181273,31.58790749130672,27.251002165537074,SE,Winter,27.399815
A,9.0,28.9291,30.177404123669604,31.497292196464926,26.96680817725587,SE,Winter,24.848652
A,10.0,35.3709,29.969523078157927,31.39988712721592,26.680001536401605,SE,Winter,24.384798
A,9.0,35.8697,29.761642032646257,31.295692283559692,26.390582242974286,SE,Winter,21.026228
A,7.2,37.5728,29.553760987134584,31.18470766549625,26.098550296973908,SE,Winter,17.550758
A,7.5,37.5728,29.345879941622915,31.066933273025594,25.803905698400474,SE,Winter,16.309952
A,7.0,40.4191,29.13799889611124,30.94236910614772,25.50664844725399,SE,Winter,14.58305
A,9.0,40.4191,28.930117850599572,30.811015164862624,25.20677854353444,SE,Winter,15.069925
A,15.9,39.9353,28.7222368050879,30.672871449170312,24.904295987241838,SE,Winter,20.370102
A,18.0,39.7497,28.514355759576226,30.527937959070783,24.599200778376176,SE,Winter,20.666573
A,17.3,39.7497,28.306474714064553,30.376214694564037,24.29149291693746,SE,Winter,19.23637
A,15.0,39.7497,28.098593668552883,30.217701655650075,23.981172402925683,SE,Winter,16.27148
A,8.7,37.9277,27.748537347794375,30.04915064638435,23.664304049426136,SE,Winter,8.180343
A,9.0,37.9277,27.398481027035864,29.87056166676687,23.340887856438812,SE,Winter,7.57755
A,4.9,35.8697,27.048424706277356,29.681934716797628,23.010923823963708,SE,Winter,3.674752
A,4.5,35.8697,26.698368385518844,29.483269796476623,22.674411952000835,SE,Winter,3.2995238
A,2.9,30.3976,26.348312064760336,29.274566905803855,22.331352240550185,SE,Winter,2.8759997
A,1.5,29.671999999999997,25.99825574400183,29.055826044779334,21.981744689611755,SE,Winter,2.5068448
A,4.9,31.104,25.64819942324332,28.82704721340305,21.625589299185553,SE,Winter,3.7863681
A,6.0,31.7893,25.29814310248481,28.588230411675,21.262886069271577,SE,Winter,4.4427223
A,11.8,38.8381,24.9480867817263,28.33937563959519,20.893634999869825,SE,Winter,8.682243
A,13.5,39.3313,24.59803046096779,28.080482897163623,20.5178360909803,SE,Winter,9.986629
A,24.0,40.4191,24.247974140209283,27.811552184380293,20.135489342602998,SE,Winter,19.043514
A,24.0,39.3313,23.897917819450775,27.532583501245202,19.746594754737924,SE,Winter,18.09519
A,18.0,31.7893,23.62733311218573,27.251002165537056,19.353924494091967,SE,Winter,12.944008
A,18.0,31.7893,23.35674840492069,26.966808177255853,18.957478560665127,SE,Winter,12.757395
A,16.1,30.3976,23.086163697655646,26.680001536401587,18.55725695445741,SE,Winter,11.217858
A,15.0,30.3976,22.815578990390605,26.390582242974265,18.153259675468814,SE,Winter,10.287859
A,15.4,33.7013,22.54499428312556,26.098550296973887,17.745486723699333,SE,Winter,10.476947
A,16.5,33.7013,22.274409575860517,25.803905698400456,17.333938099148977,SE,Winter,11.0972
A,13.9,29.671999999999997,22.003824868595473,25.50664844725397,16.918613801817735,SE,Winter,9.370119
A,13.5,29.671999999999997,21.733240161330432,25.206778543534423,16.499513831705613,SE,Winter,8.967201
A,13.5,28.9291,21.462655454065388,24.90429598724182,16.076638188812613,SE,Winter,8.69169
A,13.5,28.9291,21.192070746800347,24.599200778376158,15.64998687313873,SE,Winter,8.397673
A,13.5,23.4385,20.921486039535303,24.291492916937443,15.219559884683967,SE,Winter,8.056336
A,13.5,23.4385,20.650901332270262,23.981172402925665,14.785357223448324,SE,Winter,7.711364
A,9.1,16.5692,20.14369686380515,23.664304049426118,14.36446903066129,SE,Winter,4.9960966
