farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,preds
A,39.0,39.7497,31.90290660248794,33.062229209733054,32.592509803859684,27.099437029287653,30.217701655650625,SE,Winter,35.03243
A,39.0,38.559,31.793761570171686,33.056891575382856,32.516082751200734,26.857425865363894,30.049150646384902,SE,Winter,34.84747
A,39.0,38.559,31.684616537855437,33.04522714717921,32.439600362781015,26.60782031397925,29.87056166676742,SE,Winter,34.66066
A,37.5,36.7792,31.575471505539195,33.02723592512213,32.36306263860053,26.35062037513372,29.681934716798178,SE,Winter,38.93867
A,37.5,36.7792,31.466326473222942,33.0029179092116,32.286469578659286,26.085826048827297,29.483269796477174,SE,Winter,38.45692
A,34.4,37.1902,31.357181440906693,32.97227309944763,32.20982118295728,25.813437335059987,29.274566905804406,SE,Winter,41.49429
A,34.5,37.1902,31.24803640859044,32.9353014958302,32.133117451494506,25.53345423383179,29.05582604477988,SE,Winter,40.92136
A,34.8,38.8381,31.13889137627419,32.89200309835934,32.056358384270965,25.245876745142706,28.8270472134036,SE,Winter,40.4978
A,34.5,38.8381,31.029746343957942,32.84237790703503,31.979543981286668,24.95070486899273,28.58823041167555,SE,Winter,40.31633
A,33.9,34.8429,30.92060131164169,32.78642592185728,31.902674242541604,24.64793860538187,28.33937563959574,SE,Winter,40.67883
A,30.0,34.8429,30.811456279325448,32.72414714282608,31.82574916803577,24.33757795431012,28.080482897164174,SE,Winter,46.216396
A,20.1,31.7893,30.702311247009195,32.65554156994144,31.74876875776918,24.01962291577748,27.811552184380844,SE,Winter,44.842014
A,15.7,31.104,30.593166214692946,32.58060920320335,31.67173301174182,23.694073489783957,27.532583501245753,SE,Winter,40.789516
A,10.4,29.671999999999997,30.385285169181273,32.5021343355346,31.58790749130725,23.362986676604447,27.251002165537603,SE,Winter,34.385235
A,9.0,28.9291,30.177404123669604,32.42011696693519,31.497292196465455,23.026362476238948,26.9668081772564,SE,Winter,31.487694
A,10.0,35.3709,29.969523078157927,32.3345570974051,31.39988712721645,22.68420088868747,26.680001536402134,SE,Winter,31.260654
A,9.0,35.8697,29.761642032646257,32.24545472694435,31.295692283560225,22.336501913950013,26.390582242974816,SE,Winter,28.752111
A,7.2,37.5728,29.553760987134584,32.15280985555294,31.184707665496784,21.983265552026566,26.098550296974437,SE,Winter,25.210846
A,7.5,37.5728,29.345879941622915,32.05662248323086,31.066933273026123,21.624491802917134,25.803905698401007,SE,Winter,24.163212
