farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,change_lag,change_n,windDic_cat,season,Months,windspeed_cat,preds
A,4.9,35.8697,397.93633860155,433.32012408612644,426.54718596262273,302.1231315798638,354.9164808501508,-0.06707545683721805,-0.10810738698200317,SE,Winter,Dec,very_high,49.298344
A,4.5,35.8697,394.2713234677385,432.21291146812246,424.39351912256615,298.2103096276633,351.31827157479967,-0.0709770396991577,-0.10894287597473085,SE,Winter,Dec,very_high,48.22354
A,2.9,30.3976,390.60630833392696,431.05281335349235,422.1346611704491,294.3329425134604,347.65144538854173,-0.07468790349767473,-0.10996971126401622,SE,Winter,Dec,very_high,46.76973
A,1.5,29.672,386.94129320011564,429.8398297422361,419.7706121062716,290.49103023725485,343.91600229137686,-0.07820775909354194,-0.11119333000855836,SE,Winter,Dec,very_high,45.32271
A,4.9,31.104,383.276278066304,428.5739606343536,417.30137193003367,286.68457279904686,340.1119422833052,-0.08153602205131127,-0.11261937733472682,SE,Winter,Dec,very_high,45.145058
A,6.0,31.7893,379.61126293249254,427.25520602984506,414.7269406417354,282.9135701988362,336.23926536432674,-0.08467180274063213,-0.11425371637584625,SE,Winter,Dec,very_high,44.211132
A,11.8,38.8381,375.946247798681,425.88356592871037,412.0473182413767,279.1780224366231,332.2979715344415,-0.08761389492055316,-0.11610243889869365,SE,Winter,Dec,very_high,43.895054
A,13.5,39.3313,372.28123266486955,424.45904033094956,409.26250472895754,275.4591468208353,328.28806079364944,-0.09036076268110516,-0.11817187655769668,SE,Winter,Dec,very_high,42.70342
A,24.0,40.4191,368.61621753105806,422.9816292365626,406.372500104478,271.7885421736842,323.7930667892612,-0.09291052559834345,-0.1215984229940188,SE,Winter,Dec,very_high,36.776047
A,24.0,39.3313,364.0496332017845,421.4513326455494,403.37730436793805,268.18499118674197,319.33077203719665,-0.09749599380108176,-0.12283726471934442,SE,Winter,Dec,very_high,35.005238
A,18.0,31.7893,361.21742660472535,419.87177052996003,400.35472980679947,264.6123609905874,314.8289107986135,-0.09775656508656894,-0.12842269610893964,SE,Winter,Dec,very_high,37.827778
A,18.0,31.7893,358.3852200076662,418.2429428897943,397.3047764210622,261.0706515852205,310.28748307351174,-0.09795894417375228,-0.13420680945806196,SE,Winter,Dec,very_high,36.494564
A,16.1,30.3976,355.55301341060704,416.5648497250523,394.2274442107262,257.5598629706413,305.70648886189133,-0.09810182261041811,-0.14019435265241564,SE,Winter,Dec,very_high,35.756203
A,15.0,30.3976,352.72080681354794,414.837491035734,391.12273317579167,254.0799951468498,301.0859281637524,-0.09818382595773034,-0.1463902260721759,SE,Winter,Dec,very_high,34.695217
A,15.4,33.7013,349.88860021648867,413.0608668218393,387.99064331625846,250.63104811384594,296.4258009790948,-0.0982035102034976,-0.15279948876389382,SE,Winter,Dec,very_high,33.170795
A,16.5,33.7013,347.05639361942957,411.2349770833684,384.83117463212665,247.21302187162973,291.72610730791865,-0.09815935792833652,-0.15942736491460308,SE,Winter,Dec,very_high,31.000717
A,13.9,29.672,344.2241870223704,409.3598218203211,381.64432712339607,243.82591642020125,286.98684715022387,-0.0980497742048887,-0.16627925064553006,SE,Winter,Dec,very_high,30.280703
A,13.5,29.672,341.3919804253112,407.4354010326976,378.4301007900669,240.46973175956046,282.20802050601054,-0.09787308220839042,-0.17336072114397183,SE,Winter,Dec,very_high,28.699368
A,13.5,28.9291,338.55977382825205,405.4617147204977,375.188495632139,237.14446788970736,277.38962737527856,-0.09762751851485418,-0.18067753815314302,SE,Winter,Dec,very_high,27.023497
A,13.5,28.9291,335.72756723119284,403.4387628837215,371.91951164961256,233.83134211906977,272.49410237488377,-0.09731122806086157,-0.18834755030040318,SE,Winter,Dec,very_high,25.287178
A,13.5,23.4385,332.89536063413374,401.36654552236905,368.62314884248735,230.60050867334607,267.6347866947859,-0.09692225873644222,-0.19603930140399894,SE,Winter,Dec,very_high,23.586948
A,13.5,23.4385,329.1615848416126,398.8382235105996,365.29940721076355,227.47075024410822,262.8492457181291,-0.0989265836620995,-0.20145831766909228,SE,Winter,Dec,very_high,21.856089
A,9.1,16.5692,323.84976384603715,396.2229974873466,361.90704866813286,224.47494277308658,258.20323132837416,-0.10515762255018712,-0.20270674814779943,SE,Winter,Dec,very_high,21.365656
