timeStamp,availableMW,windSpeed,windPower,Time,windSpeed (m/s),windDic (degree),farm,var
2018-03-23 16:05:00,42.0,6.0,7.04444,,6.294526442354467,317.8703298200097,A,1
2018-03-23 16:10:00,42.0,6.0,7.04444,,6.293865762931733,317.8395842386898,A,1
2018-03-23 18:55:00,42.0,6.0,7.04444,,6.272063341981514,316.8249800551322,A,1
2018-03-24 02:15:00,42.0,6.0,7.04444,,6.213923552780931,314.11936889897845,A,1
2018-03-24 02:20:00,42.0,6.0,7.04444,,6.213262873358197,314.0886233176585,A,1
2018-03-25 07:05:00,40.6,6.0,7.04444,,5.985328472514999,303.4813977622831,A,1
2018-03-25 07:10:00,40.5,6.0,7.04444,,5.984667793092266,303.4506521809632,A,1
2018-03-25 07:35:00,42.0,6.0,7.04444,,5.981364395978596,303.29692427436356,A,1
2018-03-25 07:40:00,42.0,6.0,7.04444,,5.980703716555862,303.2661786930436,A,1
2018-03-25 07:45:00,42.0,6.0,7.04444,,5.980043037133128,303.2354331117237,A,1
2018-03-25 07:50:00,42.0,6.0,7.04444,,5.979382357710394,303.20468753040376,A,1
2018-03-25 13:00:00,40.5,6.0,7.04444,,5.938420233500892,301.2984614885682,A,1
2018-03-25 13:05:00,42.0,6.0,7.04444,,5.937759554078158,301.26771590724826,A,1
2018-03-25 13:10:00,42.0,6.0,7.04444,,5.937098874655424,301.2369703259283,A,1
2018-03-25 13:15:00,40.8,6.0,7.04444,,5.93643819523269,301.2062247446084,A,1
2018-03-25 13:20:00,40.5,6.0,7.04444,,5.935777515809956,301.17547916328846,A,1
2018-03-25 16:15:00,42.0,6.0,7.04444,,5.91265373601427,300.099383817091,A,1
2018-03-25 16:45:00,42.0,6.0,7.04444,,5.908689659477866,299.9149103291714,A,1
2018-03-25 16:50:00,42.0,6.0,7.04444,,5.908028980055132,299.88416474785146,A,1
2018-03-25 17:05:00,42.0,6.0,7.04444,,5.90604694178693,299.7919280038917,A,1
2018-03-25 17:10:00,42.0,6.0,7.04444,,5.905386262364196,299.7611824225718,A,1
2018-03-26 00:15:00,40.5,6.0,7.04444,,5.849228511431814,297.14780801037784,A,1
2018-03-26 00:20:00,40.5,6.0,7.04444,,5.84856783200908,297.1170624290579,A,1
2018-03-26 00:55:00,42.0,6.0,7.04444,,5.843943076049944,296.9018433598184,A,1
2018-03-26 01:00:00,42.0,6.0,7.04444,,5.84328239662721,296.87109777849844,A,1
2018-03-26 01:25:00,42.0,6.0,7.04444,,5.83997899951354,296.7173698718988,A,1
2018-03-26 01:30:00,42.0,6.0,7.04444,,5.839318320090806,296.6866242905789,A,1
2018-03-28 06:05:00,42.0,6.0,7.04444,,5.4224296043457105,277.2861624777039,A,1
2018-03-28 06:10:00,42.0,6.0,7.04444,,5.4217689249229775,277.25541689638396,A,1
2018-03-28 06:35:00,42.0,6.0,7.04444,,5.418465527809308,277.10168898978435,A,1
2018-03-28 06:40:00,42.0,6.0,7.04444,,5.417804848386574,277.0709434084644,A,1
2018-03-28 22:15:00,42.0,6.0,7.04444,,5.294257796335334,271.3215197016377,A,1
2018-03-30 05:15:00,40.5,6.0,7.04444,,5.04848505107832,259.8841634506243,A,1
2018-03-30 05:20:00,40.5,6.0,7.04444,,5.047824371655587,259.8534178693044,A,1
2018-03-31 16:05:00,42.0,6.0,7.04444,,4.772321052375547,247.03251045889414,A,1
2018-04-01 02:55:00,42.0,6.0,7.04444,,4.686432727420139,243.0355848873034,A,1
2018-04-01 03:00:00,42.0,6.0,7.04444,,4.685772047997405,243.00483930598347,A,1
2018-04-03 09:00:00,40.8,6.0,7.04444,,4.416875522944705,230.4913877087725,A,1
2018-04-03 10:40:00,39.4,6.0,7.04444,,4.403661934490028,229.87647608237393,A,1
2018-04-03 10:45:00,39.0,6.0,7.04444,,4.403001255067293,229.845730501054,A,1
2018-04-03 10:50:00,39.0,6.0,7.04444,,4.40234057564456,229.81498491973406,A,1
2018-04-03 10:55:00,39.0,6.0,7.04444,,4.401679896221825,229.78423933841412,A,1
2018-04-03 11:00:00,39.0,6.0,7.04444,,4.401019216799092,229.75349375709422,A,1
2018-04-03 11:05:00,38.1,6.0,7.04444,,4.400358537376357,229.72274817577429,A,1
2018-04-03 11:10:00,36.8,6.0,7.04444,,4.399697857953624,229.69200259445438,A,1
2018-04-03 11:15:00,36.8,6.0,7.04444,,4.3990371785308895,229.66125701313445,A,1
2018-04-03 11:20:00,36.1,6.0,7.04444,,4.398376499108156,229.6305114318145,A,1
2018-04-03 11:25:00,34.7,6.0,7.04444,,4.3977158196854225,229.59976585049458,A,1
2018-04-03 11:30:00,34.5,6.0,7.04444,,4.3970551402626885,229.56902026917464,A,1
2018-04-03 16:15:00,35.0,6.0,7.04444,,4.359396413166856,227.81652213393872,A,1
2018-04-03 16:20:00,36.0,6.0,7.04444,,4.358735733744122,227.78577655261878,A,1
2018-04-03 17:10:00,36.0,6.0,7.04444,,4.352128939516783,227.4783207394195,A,1
2018-04-03 19:35:00,36.9,6.0,7.04444,,4.332969236257499,226.58669888114156,A,1
2018-04-03 19:40:00,37.5,6.0,7.04444,,4.332308556834766,226.55595329982162,A,1
2018-04-04 02:45:00,42.0,6.0,7.04444,,4.276150805902383,223.9425788876277,A,1
2018-04-04 02:50:00,42.0,6.0,7.04444,,4.275490126479649,223.91183330630776,A,1
2018-04-04 02:55:00,40.7,6.0,7.04444,,4.274829447056916,223.88108772498785,A,1
2018-04-04 03:00:00,40.5,6.0,7.04444,,4.2741687676341815,223.85034214366792,A,1
2018-04-04 08:05:00,42.0,6.0,7.04444,,4.233867322847413,221.97486168315226,A,1
2018-04-04 08:10:00,42.0,6.0,7.04444,,4.23320664342468,221.94411610183232,A,1
2018-04-04 08:25:00,42.0,6.0,7.04444,,4.231224605156478,221.85187935787255,A,1
2018-04-04 08:30:00,42.0,6.0,7.04444,,4.230563925733744,221.82113377655264,A,1
2018-04-04 10:05:00,42.0,6.0,7.04444,,4.2180110167018,221.23696773147398,A,1
2018-04-04 10:10:00,42.0,6.0,7.04444,,4.217350337279066,221.20622215015405,A,1
2018-04-04 23:05:00,7.9,6.0,7.04444,,4.1149450267553105,216.4406570455651,A,1
2018-04-06 12:15:00,38.5,6.0,7.04444,,3.820282004215988,202.72812777687693,A,1
2018-04-06 12:20:00,37.5,6.0,7.04444,,3.8196213247932542,202.697382195557,A,1
2018-04-06 12:35:00,36.7,6.0,7.04444,,3.8176392865250524,202.60514545159722,A,1
2018-04-06 12:40:00,37.5,6.0,7.04444,,3.816978607102319,202.5743998702773,A,1
2018-04-06 15:30:00,34.5,6.0,7.04444,,3.7945155067293657,201.5290501053997,A,1
2018-04-06 15:35:00,38.8,6.0,7.04444,,3.7938548273066317,201.49830452407977,A,1
2018-04-06 22:45:00,39.0,6.0,7.04444,,3.737036396951516,198.85418453056593,A,1
2018-04-06 22:50:00,39.0,6.0,7.04444,,3.736375717528782,198.823438949246,A,1
2018-04-06 23:50:00,40.5,6.0,7.04444,,3.7284475644559754,198.45449197340685,A,1
2018-04-07 11:35:00,32.6,6.0,7.04444,,3.635291765850494,194.11936500729692,A,1
2018-04-07 11:55:00,37.5,6.0,7.04444,,3.632649048159559,193.99638268201718,A,1
2018-04-07 12:00:00,37.5,6.0,7.04444,,3.631988368736825,193.96563710069725,A,1
2018-04-07 12:05:00,37.5,6.0,7.04444,,3.631327689314091,193.93489151937735,A,1
2018-04-07 12:10:00,37.5,6.0,7.04444,,3.630667009891357,193.9041459380574,A,1
2018-04-11 04:55:00,40.5,6.0,7.04444,,2.9270434246797468,161.1601018323334,A,1
2018-04-11 05:00:00,40.5,6.0,7.04444,,2.926382745257013,161.12935625101346,A,1
2018-04-13 17:55:00,42.0,6.0,7.04444,,4.3568264719166665,291.4109278083333,A,1
2018-04-15 12:25:00,42.0,6.0,7.04444,,5.839860601916667,341.5249918916667,A,1
2018-04-15 12:30:00,42.0,6.0,7.04444,,5.8232369445,341.76336805,A,1
2018-04-15 12:35:00,42.0,6.0,7.04444,,5.806613287083334,342.0017442083333,A,1
2018-04-15 12:40:00,42.0,6.0,7.04444,,5.789989629666667,342.24012036666664,A,1
2018-04-15 13:55:00,42.0,6.0,7.04444,,5.40554,339.82097916666663,A,1
2018-04-15 14:00:00,42.0,6.0,7.04444,2018-04-15 14:00:00,5.376635,339.514375,A,1
2018-04-15 16:00:00,40.5,6.0,7.04444,2018-04-15 16:00:00,4.93767125,337.143125,A,1
2018-04-15 16:05:00,40.5,6.0,7.04444,,4.928580104166667,337.12359375,A,1
2018-04-15 18:55:00,42.0,6.0,7.04444,,4.680245416666667,346.24536110833344,A,1
2018-04-15 19:00:00,42.0,6.0,7.04444,2018-04-15 19:00:00,4.656375,346.6140000000001,A,1
2018-04-16 00:05:00,42.0,6.0,7.04444,,4.491413333333332,27.489305905833334,A,1
2018-04-16 00:10:00,42.0,6.0,7.04444,,4.543856666666666,28.258245141666666,A,1
2018-04-16 00:15:00,42.0,6.0,7.04444,,4.596299999999999,29.0271843775,A,1
2018-04-16 00:20:00,42.0,6.0,7.04444,,4.648743333333332,29.796123613333332,A,1
2018-04-16 01:45:00,42.0,6.0,7.04444,,5.3331984375,36.233059375,A,1
2018-04-16 01:50:00,42.0,6.0,7.04444,,5.362632708333334,36.26477291666667,A,1
2018-04-16 05:15:00,37.5,6.0,7.04444,,4.86294777775,83.8459020825,A,1
2018-04-16 05:20:00,37.5,6.0,7.04444,,4.882570370333333,84.80232777666667,A,1
2018-04-16 07:05:00,42.0,6.0,7.04444,,4.8936878125,98.03136979166666,A,1
2018-04-16 14:05:00,40.5,6.0,7.04444,,5.748964895833333,118.7295,A,1
2018-04-16 14:10:00,40.5,6.0,7.04444,,5.751554791666666,118.76325,A,1
2018-04-17 20:05:00,40.5,6.0,7.04444,,6.670674375,102.005175,A,1
2018-04-17 20:10:00,40.5,6.0,7.04444,,6.6320575,101.27244999999999,A,1
2018-04-17 23:55:00,42.0,6.0,7.04444,,5.510089432666667,112.3932679875,A,1
2018-04-18 00:00:00,42.0,6.0,7.04444,2018-04-18 00:00:00,5.463252222,113.7891611,A,1
2018-04-18 00:05:00,42.0,6.0,7.04444,,5.4424005785,116.63331434166666,A,1
2018-04-18 00:10:00,42.0,6.0,7.04444,,5.421548935000001,119.47746758333332,A,1
2018-04-18 00:25:00,42.0,6.0,7.04444,,5.3589940045,128.00992730833332,A,1
2018-04-18 00:30:00,42.0,6.0,7.04444,,5.338142361,130.85408055,A,1
2018-04-18 02:35:00,42.0,6.0,7.04444,,5.245345729166667,161.81116666666668,A,1
2018-04-18 02:40:00,42.0,6.0,7.04444,,5.254734583333334,162.66883333333334,A,1
2018-04-18 05:10:00,42.0,6.0,7.04444,,4.587533842666666,204.4116551,A,1
2018-04-18 05:15:00,42.0,6.0,7.04444,,4.605922014,206.02604515,A,1
2018-04-18 05:20:00,42.0,6.0,7.04444,,4.624310185333333,207.64043519999998,A,1
2018-04-19 10:45:00,42.0,6.0,7.04444,,2.819974375,230.38740625,A,1
2018-04-19 10:50:00,42.0,6.0,7.04444,,2.7724520833333335,229.3824375,A,1
2018-04-19 10:55:00,42.0,6.0,7.04444,,2.724929791666667,228.37746875,A,1
2018-04-19 11:00:00,42.0,6.0,7.04444,2018-04-19 11:00:00,2.6774075,227.3725,A,1
2018-04-19 11:05:00,42.0,6.0,7.04444,,2.613978875,227.24602315,A,1
2018-04-19 11:10:00,42.0,6.0,7.04444,,2.55055025,227.1195463,A,1
2018-04-20 08:35:00,40.5,6.0,7.04444,,4.956268854166667,7.273459687500001,A,1
2018-04-20 08:40:00,40.5,6.0,7.04444,,4.985909583333333,7.099340000000001,A,1
2018-04-20 17:50:00,42.0,6.0,7.04444,,6.370030833333333,347.4845277500001,A,1
2018-04-20 18:05:00,42.0,6.0,7.04444,,6.361928229166667,346.8007742750001,A,1
2018-04-20 18:10:00,42.0,6.0,7.04444,,6.349106458333333,346.8012152500001,A,1
2018-04-20 18:25:00,42.0,6.0,7.04444,,6.310641145833333,346.80253817500005,A,1
2018-04-20 18:30:00,42.0,6.0,7.04444,,6.2978193749999996,346.80297915000006,A,1
2018-04-22 12:05:00,42.0,6.0,7.04444,,5.387880427833333,328.89501739166667,A,1
2018-04-22 12:10:00,42.0,6.0,7.04444,,5.393296411666666,329.01036808333333,A,1
2018-04-22 13:25:00,42.0,6.0,7.04444,,5.55920625,329.392,A,1
2018-04-22 13:30:00,42.0,6.0,7.04444,,5.58155625,329.237625,A,1
2018-04-22 13:35:00,42.0,6.0,7.04444,,5.6039062500000005,329.08325,A,1
2018-04-22 13:40:00,42.0,6.0,7.04444,,5.62625625,328.928875,A,1
2018-04-23 23:45:00,42.0,6.0,7.04444,,5.22141270825,248.514604175,A,1
2018-04-23 23:50:00,42.0,6.0,7.04444,,5.222315509166667,248.54469908333334,A,1
2018-04-24 13:15:00,34.6,6.0,7.04444,,2.9230303125,194.24975,A,1
2018-04-24 13:20:00,36.0,6.0,7.04444,,2.9489204166666667,195.54870833333334,A,1
2018-04-24 16:35:00,27.0,6.0,7.04444,,5.042820625000001,235.88530208333333,A,1
2018-04-24 18:40:00,37.5,6.0,7.04444,,6.315246018666667,238.0267963,A,1
2018-04-24 21:35:00,40.8,6.0,7.04444,,6.3879653124999995,232.86315625,A,1
2018-04-25 05:35:00,42.0,6.0,7.04444,,4.564714293916667,195.63053243333334,A,1
2018-04-25 05:40:00,42.0,6.0,7.04444,,4.562583657333334,194.80653706666666,A,1
2018-04-25 05:45:00,42.0,6.0,7.04444,,4.56045302075,193.9825417,A,1
2018-04-25 05:50:00,42.0,6.0,7.04444,,4.558322384166667,193.15854633333333,A,1
2018-04-25 10:50:00,42.0,6.0,7.04444,,5.073132291666666,182.82566666666668,A,1
2018-04-25 21:55:00,36.0,6.0,7.04444,,4.746426145833333,162.23601041666666,A,1
2018-04-25 22:00:00,36.0,6.0,7.04444,2018-04-25 22:00:00,4.76781375,160.604875,A,1
2018-04-26 17:50:00,42.0,6.0,7.04444,,8.129814351666667,156.80275691666665,A,1
2018-04-26 18:00:00,42.0,6.0,7.04444,2018-04-26 18:00:00,8.113532222,158.2983333,A,1
2018-04-28 02:15:00,39.0,6.0,7.04444,,5.4892371875,166.13390625,A,1
2018-04-28 02:20:00,39.0,6.0,7.04444,,5.532830833333334,166.24158333333332,A,1
2018-04-28 03:15:00,40.5,6.0,7.04444,,5.770971875000001,165.67668749999996,A,1
2018-04-28 03:20:00,40.5,6.0,7.04444,,5.7341025000000005,165.20124999999996,A,1
2018-04-28 03:35:00,40.5,6.0,7.04444,,5.623494375,163.7749375,A,1
2018-04-28 03:40:00,40.5,6.0,7.04444,,5.586625,163.2995,A,1
2018-04-29 17:55:00,40.5,6.0,7.04444,,5.344349548916667,89.43140127416666,A,1
2018-04-29 18:00:00,40.5,6.0,7.04444,2018-04-29 18:00:00,5.357356667,89.32708889,A,1
2018-04-29 18:40:00,40.5,6.0,7.04444,,5.600960555666667,89.59812129666666,A,1
2018-04-29 18:45:00,40.5,6.0,7.04444,,5.63141104175,89.6320003475,A,1
2018-04-29 18:50:00,40.5,6.0,7.04444,,5.6618615278333335,89.66587939833333,A,1
2018-04-29 18:55:00,40.5,6.0,7.04444,,5.692312013916666,89.69975844916667,A,1
2018-04-29 19:00:00,40.5,6.0,7.04444,2018-04-29 19:00:00,5.7227625,89.7336375,A,1
2018-04-29 20:25:00,40.5,6.0,7.04444,,6.329483333333333,84.89685416666667,A,1
2018-04-29 20:30:00,40.5,6.0,7.04444,,6.37092625,84.643575,A,1
2018-04-30 09:25:00,34.2,6.0,7.04444,,5.691093437499999,84.0038625,A,1
2018-04-30 09:30:00,34.5,6.0,7.04444,,5.597633125,84.7110375,A,1
2018-05-02 03:05:00,42.0,6.0,7.04444,,4.367023020833333,258.782125,A,1
2018-05-02 03:10:00,42.0,6.0,7.04444,,4.334146041666666,257.19375,A,1
2018-05-02 13:10:00,37.5,6.0,7.04444,,3.9902114583333335,238.36016666666666,A,1
2018-05-02 13:15:00,34.4,6.0,7.04444,,4.0679840625,239.613,A,1
