farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,Months,windspeed_cat,preds
A,34.5,4.2203300000000015,16.157250823769527,16.975699313425803,15.591509275818124,17.98441003958258,17.059141998625158,SW,Winter,Dec,low,3.480361
A,34.5,4.54801,16.233008672538173,16.867709569547202,15.59914153037157,18.049713994226305,17.139817755140253,SW,Winter,Dec,low,3.4676645
A,34.5,4.54801,16.308766521306822,16.76796294976715,15.614681671144936,18.117452869960044,17.224213796141203,SW,Winter,Dec,low,3.4543648
A,34.5,4.54801,16.38452437007547,16.67645945408565,15.638129698138217,18.187626666783803,17.312330121628012,SW,Winter,Dec,low,3.4404628
A,34.5,4.54801,16.460282218844117,16.593199082502696,15.669485611351412,18.260235384697584,17.40416673160068,SW,Winter,Dec,low,3.4262447
A,34.5,4.2203300000000015,16.53604006761277,16.5181818350183,15.708749410784526,18.33527902370138,17.499723626059204,SW,Winter,Dec,low,3.4130354
A,34.5,4.2203300000000015,16.611797916381416,16.451407711632456,15.755921096437554,18.41275758379519,17.599000805003584,SW,Winter,Dec,low,3.3995817
A,36.0,7.43422,16.68755576515007,16.39287671234516,15.811000668310498,18.492671064979024,17.715751991469592,SW,Winter,Dec,low,3.5443919
A,36.0,7.43422,16.763313613918722,16.342588837156416,15.873988126403361,18.573430592420333,17.833045712756363,SW,Winter,Dec,low,3.5265176
A,37.5,9.57225,16.839071462687368,16.300544086066225,15.944883470716137,18.64964619076942,17.94337150720955,SW,Winter,Dec,low,3.627084
A,37.5,9.57225,16.838563319493847,16.26674245907458,16.02368670124883,18.722906734858835,18.049907124494236,SW,Winter,Dec,low,3.6183774
A,37.5,10.5384,16.914546275500598,16.237983613455214,16.10171590449193,18.7916186601219,18.14946543547708,SW,Winter,Dec,low,3.6041646
A,37.5,10.5384,16.990529231507356,16.214267549208113,16.178971080445425,18.85578196655862,18.242046440158074,SW,Winter,Dec,low,3.5904047
A,39.0,10.5384,17.06651218751411,16.195594266333288,16.255452229109327,18.915396654168994,18.32765013853723,SW,Winter,Dec,low,3.553856
A,39.0,10.5384,17.142495143520865,16.18196376483073,16.331159350483627,18.970462722953023,18.406276530614537,SW,Winter,Dec,low,3.5448124
A,37.2,9.11529,17.218478099527626,16.173376044700444,16.406092444568333,19.020980172910708,18.477925616390007,SW,Winter,Dec,low,3.5289598
A,36.0,9.11529,17.294461055534384,16.169831105942425,16.480251511363438,19.06694900404204,18.542597395863627,SW,Winter,Dec,low,3.4129975
A,34.5,6.66448,17.37044401154114,16.17132894855668,16.55363655086895,19.108369216347032,18.600291869035402,SW,Winter,Dec,low,3.254467
A,34.5,6.66448,17.446426967547893,16.177869572543212,16.626247563084863,19.14227516924947,18.651009035905336,SW,Winter,Dec,low,3.2409778
A,38.9,12.7036,17.522409923554648,16.189452977902008,16.698084548011177,19.170043628493016,18.694748896473424,SW,Winter,Dec,low,3.4932272
A,39.0,13.2965,17.598392879561406,16.206079164633078,16.769147505647897,19.19669596030681,18.72833370107458,SW,Winter,Dec,low,3.4895272
A,39.0,10.5384,17.674375835568167,16.227748132736416,16.839436435995015,19.222232164690855,18.766778968387516,SW,Winter,Dec,low,3.4802744
A,39.0,10.5384,17.674092799612747,16.254459882212025,16.90895133905254,19.248241116477697,18.813262448077325,SW,Winter,Dec,low,3.4797878
A,39.0,9.57225,17.839137476041973,16.286985717040523,16.98218652659592,19.271278488325986,18.860895485461317,SW,Winter,Dec,low,3.4608665
A,39.0,9.57225,18.004182152471202,16.325325637221905,17.059141998625158,19.29414538515807,18.909678080539482,SW,Winter,Dec,low,3.442036
A,36.8,9.11529,18.169226828900435,16.369479642756176,17.139817755140253,19.312451827219054,18.95961023331183,SW,Winter,Dec,low,3.3577247
A,36.0,9.11529,18.334271505329653,16.419447733643334,17.224213796141203,19.325867466947162,19.01069194377836,SW,Winter,Dec,low,3.2747087
A,36.0,5.2253300000000005,18.49931618175889,16.475229909883378,17.312330121628012,19.33536055205835,19.06292321193907,SW,Winter,Dec,low,3.2519362
A,36.0,5.2253300000000005,18.66436085818811,16.53682617147631,17.40416673160068,19.34093108255262,19.11630403779396,SW,Winter,Dec,low,3.2300572
A,34.5,5.57428,18.829405534617344,16.604236518422127,17.499723626059204,19.342579058429965,19.170834421343027,SW,Winter,Dec,low,3.0622914
A,34.5,5.2253300000000005,18.994450211046566,16.677460950720832,17.599000805003584,19.340304479690392,19.226514362586276,SW,Winter,Dec,low,3.0429778
A,34.5,6.29334,19.489584240334256,16.763376329890306,17.715751991469592,19.32723048481601,19.26959013848793,SW,Winter,Dec,low,2.9854026
A,34.5,6.29334,19.57836292480131,16.853516919580127,17.833045712756363,19.311822810157256,19.31381547208377,SW,Winter,Dec,low,2.9717734
A,34.5,6.29334,19.4868905295638,16.944127488963108,17.94337150720955,19.297836686541306,19.355920874328763,SW,Winter,Dec,low,2.9776566
A,34.5,6.29334,19.395418134326306,17.036796912871797,18.049907124494236,19.285272113968155,19.395906345222905,SW,Winter,Dec,low,2.9825103
A,33.0,6.29334,19.303945739088807,17.125590669984764,18.14946543547708,19.272540217605265,19.433771884766198,SW,Winter,Dec,low,2.8076718
A,33.0,6.29334,19.2124733438513,17.210508760302016,18.242046440158074,19.26296285012293,19.46951749295864,SW,Winter,Dec,low,2.8142126
A,34.4,4.88318,19.1210009486138,17.29155118382354,18.32765013853723,19.256540011521157,19.503143169800236,SW,Winter,Dec,low,2.9872284
A,34.5,4.88318,19.0295285533763,17.36871794054935,18.406276530614537,19.253271701799942,19.534648915290983,SW,Winter,Dec,low,3.0032794
A,33.6,6.66448,18.938056158138792,17.442009030479433,18.477925616390007,19.253157920959286,19.564034729430883,SW,Winter,Dec,low,2.9102685
A,33.0,6.66448,18.846583762901297,17.5114244536138,18.542597395863627,19.25619866899919,19.591300612219932,SW,Winter,Dec,low,2.8470478
A,33.5,7.43422,18.75511136766379,17.57696420995244,18.600291869035402,19.26239394591965,19.616446563658133,SW,Winter,Dec,low,2.9084034
A,34.5,7.43422,18.66363897242629,17.638628299495362,18.651009035905336,19.271743751720674,19.633541302593073,SW,Winter,Dec,low,3.017397
A,34.5,7.8349600000000015,18.57216657718879,17.696416722242564,18.694748896473424,19.284248086402254,19.645338360512074,SW,Winter,Dec,low,3.0187986
A,34.5,7.8349600000000015,18.40442818998912,17.7487406033615,18.72833370107458,19.29447423214498,19.665058219538512,SW,Winter,Dec,low,3.0310102
A,34.5,10.0463,18.597062251078658,17.80310770219153,18.766778968387516,19.297627408362093,19.677685360993667,SW,Winter,Dec,low,3.0028539
A,34.5,10.0463,18.789696312168193,17.861106893565196,18.813262448077325,19.29370761505359,19.68321978487754,SW,Winter,Dec,low,2.97527
