timeStamp,windDic (degree),windSpeed_5min,availableMW,farm,prediction
1/1/2019 8:05,,10.64634627,99,B,67.00003815
1/1/2019 8:10,,10.67025615,99,B,67.31884766
1/1/2019 8:15,,10.69416604,99,B,67.62680054
1/1/2019 8:20,,10.71807592,99,B,67.92648315
1/1/2019 8:25,,10.74198581,99,B,68.22125244
1/1/2019 8:30,,10.76589569,99,B,68.51832581
1/1/2019 8:35,,10.78980558,99,B,68.78890991
1/1/2019 8:40,,10.81371546,99,B,69.00901794
1/1/2019 8:45,,10.83762535,99,B,69.23797607
1/1/2019 8:50,,10.86153523,99,B,69.44698334
1/1/2019 8:55,,10.88544512,99,B,69.6109314
1/1/2019 9:00,159.478,10.89411869,99,B,69.61384583
1/1/2019 9:05,,11.01787282,99,B,70.8026886
1/1/2019 9:10,,11.14162695,99,B,72.01908875
1/1/2019 9:15,,11.26538109,99,B,73.22151184
1/1/2019 9:20,,11.38913522,99,B,74.36088562
1/1/2019 9:25,,11.51288935,99,B,75.42022705
1/1/2019 9:30,,11.63664348,99,B,76.45513153
1/1/2019 9:35,,11.76039761,99,B,77.43338013
1/1/2019 9:40,,11.88415175,99,B,78.36212921
1/1/2019 9:45,,12.00790588,99,B,79.36772919
1/1/2019 9:50,,12.13166001,99,B,80.25055695
1/1/2019 9:55,,12.25541414,99,B,81.07283783
1/1/2019 10:00,167.928,12.36393196,99,B,81.8828125
1/1/2019 10:05,,12.41015024,99,B,82.39726257
1/1/2019 10:10,,12.45636852,99,B,82.80813599
1/1/2019 10:15,,12.5025868,99,B,83.18484497
1/1/2019 10:20,,12.54880508,99,B,83.54670715
1/1/2019 10:25,,12.59502336,99,B,83.89996338
1/1/2019 10:30,,12.64124164,99,B,84.15319061
1/1/2019 10:35,,12.68745991,99,B,84.3759613
1/1/2019 10:40,,12.73367819,99,B,84.58403015
1/1/2019 10:45,,12.77989647,99,B,84.8493042
1/1/2019 10:50,,12.82611475,99,B,85.19258118
1/1/2019 10:55,,12.87233303,99,B,85.48835754
1/1/2019 11:00,170.5615,12.903315,99,B,85.63093567
1/1/2019 11:05,,12.79951336,99,B,85.07050323
1/1/2019 11:10,,12.69571173,99,B,84.55021667
1/1/2019 11:15,,12.59191009,99,B,84.05510712
1/1/2019 11:20,,12.48810846,99,B,83.60206604
1/1/2019 11:25,,12.38430682,99,B,83.19039917
1/1/2019 11:30,,12.28050518,99,B,82.78179169
1/1/2019 11:35,,12.17670355,99,B,82.45077515
1/1/2019 11:40,,12.07290191,99,B,82.1471405
1/1/2019 11:45,,11.96910028,99,B,81.88509369
1/1/2019 11:50,,11.86529864,99,B,81.64924622
1/1/2019 11:55,,11.76149701,99,B,81.44242859
1/1/2019 12:00,161.8906667,11.64245906,99,B,80.8490448
1/1/2019 12:05,,11.69827218,99,B,91.26580811
1/1/2019 12:10,,11.7540853,99,B,91.55091095
1/1/2019 12:15,,11.80989843,99,B,91.82991791
1/1/2019 12:20,,11.86571155,99,B,92.10835266
1/1/2019 12:25,,11.92152467,99,B,92.38609314
1/1/2019 12:30,,11.9773378,99,B,92.71472931
1/1/2019 12:35,,12.03315092,99,B,93.07402039
1/1/2019 12:40,,12.08896404,99,B,93.41819763
1/1/2019 12:45,,12.14477716,99,B,93.65727234
1/1/2019 12:50,,12.20059029,99,B,93.89425659
1/1/2019 12:55,,12.25640341,99,B,94.04302216
1/1/2019 13:00,147.2723333,12.29698022,99,B,94.15602875
1/1/2019 13:05,,12.45234621,99,B,95.32394409
1/1/2019 13:10,,12.6077122,99,B,96.46024323
1/1/2019 13:15,,12.76307819,99,B,97.57630157
1/1/2019 13:20,,12.91844418,99,B,98.52534485
1/1/2019 13:25,,13.07381016,99,B,99.3691864
1/1/2019 13:30,,13.22917615,99,B,100.1778793
1/1/2019 13:35,,13.38454214,99,B,100.9521408
