farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,preds
A,39.0,39.7497,31.90290660248794,33.06222920973237,32.59250980385906,27.09943702928697,30.21770165565,SE,Winter,35.594288
A,39.0,38.559,31.793761570171686,33.056891575382174,32.51608275120011,26.85742586536321,30.049150646384277,SE,Winter,35.445473
A,39.0,38.559,31.684616537855437,33.04522714717853,32.43960036278039,26.607820313978568,29.870561666766793,SE,Winter,35.30032
A,37.5,36.7792,31.575471505539195,33.027235925121445,32.36306263859991,26.350620375133037,29.681934716797553,SE,Winter,36.106747
A,37.5,36.7792,31.466326473222942,33.002917909210915,32.28646957865866,26.085826048826615,29.48326979647655,SE,Winter,35.81593
A,34.4,37.1902,31.357181440906693,32.972273099446944,32.20982118295665,25.813437335059305,29.27456690580378,SE,Winter,37.425957
A,34.5,37.1902,31.24803640859044,32.93530149582952,32.13311745149388,25.533454233831108,29.055826044779256,SE,Winter,36.974075
A,34.8,38.8381,31.13889137627419,32.89200309835866,32.05635838427034,25.245876745142024,28.827047213402974,SE,Winter,36.501953
A,34.5,38.8381,31.029746343957942,32.84237790703435,31.979543981286042,24.950704868992048,28.588230411674925,SE,Winter,36.367584
A,33.9,34.8429,30.92060131164169,32.7864259218566,31.90267424254098,24.64793860538119,28.339375639595115,SE,Winter,36.37672
A,30.0,34.8429,30.811456279325448,32.724147142825394,31.825749168035145,24.337577954309438,28.08048289716355,SE,Winter,37.60974
A,20.1,31.7893,30.702311247009195,32.65554156994076,31.748768757768556,24.019622915776797,27.81155218438022,SE,Winter,41.079353
A,15.7,31.104,30.593166214692946,32.58060920320267,31.671733011741196,23.694073489783275,27.532583501245128,SE,Winter,39.945427
A,10.4,29.671999999999997,30.385285169181273,32.50213433553392,31.587907491306623,23.362986676603764,27.251002165536978,SE,Winter,37.486507
A,9.0,28.9291,30.177404123669604,32.42011696693451,31.49729219646483,23.026362476238265,26.966808177255775,SE,Winter,36.303333
A,10.0,35.3709,29.969523078157927,32.33455709740442,31.399887127215823,22.68420088868679,26.68000153640151,SE,Winter,36.273506
A,9.0,35.8697,29.761642032646257,32.24545472694367,31.2956922835596,22.33650191394933,26.39058224297419,SE,Winter,35.25106
A,7.2,37.5728,29.553760987134584,32.152809855552256,31.18470766549616,21.983265552025884,26.098550296973812,SE,Winter,33.779465
A,7.5,37.5728,29.345879941622915,32.05662248323018,31.066933273025498,21.624491802916452,25.80390569840038,SE,Winter,33.38174
A,7.0,40.4191,29.13799889611124,31.95689260997743,30.942369106147623,21.260180666621043,25.506648447253895,SE,Winter,32.556858
A,9.0,40.4191,28.930117850599572,31.853620235794015,30.81101516486253,20.89033214313965,25.206778543534345,SE,Winter,33.007244
A,15.9,39.9353,28.7222368050879,31.74680536067994,30.672871449170216,20.514946232472273,24.904295987241742,SE,Winter,38.45303
A,18.0,39.7497,28.514355759576226,31.636447984635193,30.527937959070687,20.13402293461891,24.599200778376083,SE,Winter,38.59908
A,17.3,39.7497,28.306474714064553,31.522548107659784,30.37621469456394,19.75352096634499,24.29149291693737,SE,Winter,38.047718
A,15.0,39.7497,28.098593668552883,31.40510572975371,30.21770165564998,19.373440327650506,23.98117240292559,SE,Winter,36.987614
A,8.7,37.9277,27.748537347794375,31.282616698791372,30.04915064638426,18.99674300343644,23.665701084343798,SE,Winter,30.256443
A,9.0,37.9277,27.398481027035864,31.155081014772772,29.870561666766775,18.62342899370279,23.34507896119199,SE,Winter,29.99888
A,4.9,35.8697,27.048424706277356,31.022498677697907,29.68193471679753,18.253498298449554,23.01930603347017,SE,Winter,25.3932
A,4.5,35.8697,26.698368385518844,30.884869687566777,29.48326979647653,17.886950917676735,22.688382301178333,SE,Winter,24.15795
A,2.9,30.3976,26.348312064760336,30.742194044379392,29.274566905803763,17.523786851384333,22.35230776431648,SE,Winter,22.34263
A,1.5,29.671999999999997,25.99825574400183,30.594471748135746,29.055826044779238,17.164006099572344,22.01108242288461,SE,Winter,20.65018
A,4.9,31.104,25.64819942324332,30.441702798835834,28.827047213402953,16.80760866224077,21.664706276882722,SE,Winter,21.172464
A,6.0,31.7893,25.29814310248481,30.283887196479657,28.588230411674903,16.454594539389614,21.31317932631082,SE,Winter,21.614359
A,11.8,38.8381,24.9480867817263,30.12102494106722,28.339375639595094,16.104963731018874,20.956501571168904,SE,Winter,27.405386
A,13.5,39.3313,24.59803046096779,29.95311603259852,28.08048289716353,15.758716237128546,20.59467301145697,SE,Winter,27.467815
A,24.0,40.4191,24.247974140209283,29.780160471073557,27.8115521843802,15.417075050202135,20.22769364717502,SE,Winter,28.018782
A,24.0,39.3313,23.897917819450775,29.602158256492334,27.53258350124511,15.08004017023964,19.85556347832306,SE,Winter,26.571314
A,18.0,31.7893,23.62733311218573,29.41945482842097,27.25100216553696,14.74595593862661,19.474971187672185,SE,Winter,25.592178
A,18.0,31.7893,23.35674840492069,29.23205018685947,26.966808177255757,14.41482235536305,19.085916775222405,SE,Winter,24.097536
A,16.1,30.3976,23.086163697655646,29.039944331807835,26.68000153640149,14.086639420448961,18.68840024097371,SE,Winter,22.224485
A,15.0,30.3976,22.815578990390605,28.843137263266062,26.390582242974173,13.761407133884338,18.28242158492611,SE,Winter,20.489193
A,15.4,33.7013,22.54499428312556,28.641628981234152,26.098550296973794,13.439125495669183,17.867980807079594,SE,Winter,19.163708
A,16.5,33.7013,22.274409575860517,28.435419485712107,25.80390569840036,13.119794505803496,17.44507790743417,SE,Winter,17.926186
A,13.9,29.671999999999997,22.003824868595473,28.224508776699924,25.506648447253877,12.803414164287275,17.01371288598984,SE,Winter,16.070267
A,13.5,29.671999999999997,21.733240161330432,28.008896854197605,25.206778543534327,12.489984471120527,16.573885742746594,SE,Winter,14.571536
A,13.5,28.9291,21.462655454065388,27.78858371820515,24.904295987241724,12.179505426303244,16.12559647770444,SE,Winter,13.253464
A,13.5,28.9291,21.192070746800347,27.563569368722554,24.599200778376062,11.87197702983543,15.668845090863378,SE,Winter,12.026442
A,13.5,23.4385,20.921486039535303,27.333853805749822,24.291492916937347,11.572301463340432,15.215549015754254,SE,Winter,10.790332
A,13.5,23.4385,20.650901332270262,27.09943702928695,23.98117240292557,11.280478726818254,14.765708252377065,SE,Winter,9.3778
A,9.1,16.5692,20.17722570183138,26.857425865363194,23.66570108434378,11.000739881168348,14.32778492253072,SE,Winter,6.407374
A,9.0,15.8753,19.703550071392495,26.60782031397855,23.345078961191973,10.733084926390717,13.901779026215223,SE,Winter,5.170564
A,11.2,18.7532,19.229874440953612,26.35062037513302,23.019306033470148,10.477513862485358,13.487690563430574,SE,Winter,4.37488
A,10.5,18.7532,18.75619881051473,26.085826048826593,22.68838230117831,10.23402668945227,13.08551953417677,SE,Winter,3.31182
A,11.6,18.0094,18.282523180075845,25.813437335059287,22.35230776431646,10.002623407291457,12.695265938453815,SE,Winter,2.6220784
A,12.0,18.0094,17.808847549636965,25.53345423383109,22.011082422884588,9.783304016002916,12.316929776261707,SE,Winter,2.1967402
A,12.0,14.5453,17.33517191919808,25.245876745142002,21.6647062768827,9.576068515586647,11.950511047600443,SE,Winter,1.9229356
A,12.0,14.5453,16.8614962887592,24.95070486899203,21.313179326310802,9.380916906042652,11.596009752470026,SE,Winter,1.7158327
A,12.0,9.11529,16.38782065832031,24.64793860538117,20.956501571168882,9.19784918737093,11.253425890870458,SE,Winter,1.5328654
A,12.0,9.11529,15.914145027881432,24.33757795430942,20.59467301145695,9.026865359571481,10.922759462801736,SE,Winter,1.3634027
A,6.3,7.834960000000001,15.44046939744255,24.01962291577678,20.227693647175002,8.86752355487828,10.60645645323086,SE,Winter,1.340382
A,6.0,7.834960000000001,14.966793767003665,23.694073489783253,19.855563478323038,8.719823773291328,10.304516862157833,SE,Winter,1.2123734
A,9.0,8.67424,14.493118136564783,23.362986676603743,19.474971187672164,8.583766014810625,10.01694068958265,SE,Winter,1.0673001
A,9.0,8.67424,14.019442506125898,23.026362476238248,19.085916775222383,8.45935027943617,9.743727935505314,SE,Winter,1.0041906
A,11.0,11.0495,13.545766875687017,22.68420088868677,18.688400240973692,8.346576567167963,9.484878599925825,SE,Winter,0.9995648
A,10.5,11.0495,13.072091245248133,22.33650191394931,18.282421584926087,8.245444878006003,9.240392682844181,SE,Winter,0.9588543
A,15.0,6.66448,12.59841561480925,21.983265552025866,17.867980807079576,8.155955211950294,9.010270184260383,SE,Winter,1.044668
A,15.0,6.66448,12.124739984370366,21.624491802916435,17.445077907434154,8.078107569000831,8.794511104174433,SE,Winter,1.0279578
A,10.5,5.2253300000000005,11.651064353931485,21.260180666621025,17.013712885989822,8.011901949157618,8.59311544258633,SE,Winter,0.88820636
A,10.5,4.88318,11.177388723492601,20.89033214313963,16.573885742746576,7.957338352420654,8.40608319949607,SE,Winter,0.859401
A,13.5,4.88318,10.703713093053718,20.51494623247225,16.125596477704423,7.914416778789938,8.233414374903658,SE,Winter,0.9423114
A,13.5,4.54801,10.230037462614835,20.13402293461889,15.668845090863359,7.883137228265469,8.075108968809092,SE,Winter,0.9418708
A,17.9,3.00493,10.042380236916275,19.75352096634497,15.215549015754235,7.857546274417456,7.929053910928226,SE,Winter,1.0949667
A,19.5,3.00493,9.854723011217715,19.37344032765049,14.765708252377046,7.837643917245899,7.795249201261059,SE,Winter,1.1408154
A,18.8,2.0098599999999998,9.667065785519155,18.99674300343642,14.327784922530702,7.823430156750798,7.673694839807591,SE,Winter,1.1186419
A,19.5,2.0098599999999998,9.479408559820595,18.62342899370277,13.901779026215204,7.814904992932152,7.564390826567821,SE,Winter,1.1336511
A,19.4,1.4329100000000001,9.291751334122035,18.253498298449536,13.487690563430554,7.812068425789961,7.46733716154175,SE,Winter,1.129687
A,19.5,1.2598200000000002,9.104094108423473,17.886950917676717,13.085519534176752,7.814920455324226,7.382533844729379,S,Winter,1.861556
A,21.0,2.2335,8.916436882724915,17.523786851384312,12.695265938453796,7.823461081534945,7.309980876130706,S,Winter,2.1262627
A,21.0,2.2335,8.728779657026354,17.164006099572322,12.316929776261688,7.837690304422121,7.249678255745732,S,Winter,2.269476
A,21.0,1.2598200000000002,8.541122431327794,16.80760866224075,11.950511047600424,7.857608123985751,7.201625983574458,S,Winter,2.418979
A,21.0,1.2598200000000002,8.353465205629234,16.454594539389593,11.596009752470009,7.883214540225837,7.165824059616884,S,Winter,2.5084972
A,21.1,1.08366,8.165807979930674,16.104963731018852,11.253425890870439,7.914509553142378,7.142272483873008,S,Winter,2.5676746
A,21.0,1.08366,7.978150754232114,15.758716237128526,10.922759462801716,7.951493162735375,7.130971256342831,S,Winter,2.608234
A,20.5,1.61208,7.8491971677415435,15.417075050202115,10.606456453230841,7.995809881071774,7.1285906565273045,S,Winter,2.562667
A,19.5,1.61208,7.720243581250973,15.08004017023962,10.304516862157813,8.047459708151573,7.135130684426429,S,Winter,2.4256377
A,23.5,2.0098599999999998,7.591289994760402,14.745955938626592,10.016940689582631,8.106442643974775,7.1505913400402035,S,Winter,3.2873812
A,24.0,2.0098599999999998,7.462336408269829,14.41482235536303,9.743727935505296,8.172758688541379,7.174972623368628,S,Winter,3.429376
A,29.4,3.00493,7.333382821779258,14.086639420448941,9.484878599925805,8.246407841851385,7.2082745344117045,S,Winter,3.999658
A,28.5,3.29181,7.204429235288687,13.761407133884319,9.240392682844162,8.327390103904792,7.250497073169431,SW,Winter,3.4473133
A,30.1,3.90096,7.0754756487981165,13.439125495669165,9.010270184260365,8.4157054747016,7.301640239641807,SW,Winter,3.839017
