farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,Months,windspeed_cat,preds
A,39.0,39.7497,38.110701092767805,37.6985527899778,37.24369705711244,33.7387223316539,36.57585464187302,SE,Winter,Dec,low,39.660236
A,39.0,38.559,38.014229399847416,37.7221634825899,37.23870451331551,33.51749382487638,36.42036571756429,SE,Winter,Dec,low,39.593033
A,39.0,38.559,37.917757706927,37.74016564993557,37.233662915918984,33.28891389052719,36.2559784141325,SE,Winter,Dec,low,39.53786
A,37.5,36.7792,37.82128601400659,37.75255929201482,37.22857226492287,33.05298252860632,36.08269273157765,SE,Winter,Dec,low,40.14267
A,37.5,36.7792,37.7248143210862,37.759344408827666,37.22343256032716,32.80969973911378,35.90050866989974,SE,Winter,Dec,low,40.043743
A,34.4,37.1902,37.6283426281658,37.76052100037409,37.218243802131866,32.559065522049565,35.70942622909878,SE,Winter,Dec,low,43.076923
A,34.5,37.1902,37.53187093524538,37.756089066654106,37.21300599033698,32.30107987741368,35.50944540917476,SE,Winter,Dec,low,42.663216
A,34.8,38.8381,37.43539924232496,37.746048607667696,37.20771912494251,32.03574280520612,35.30056621012768,SE,Winter,Dec,low,42.046757
A,34.5,38.8381,37.33892754940457,37.730399623414876,37.202383205948436,31.76305430542689,35.08278863195754,SE,Winter,Dec,low,42.18247
A,33.9,34.8429,37.24245585648416,37.709142113895645,37.196998233354776,31.48301437807599,34.856112674664345,SE,Winter,Dec,low,42.927692
A,30.0,34.8429,37.14598416356375,37.68227607910999,37.19156420716153,31.195623023153413,34.62053833824809,SE,Winter,Dec,low,48.495293
A,20.1,31.7893,37.04951247064336,37.649801519057924,37.18608112736868,30.883265275736566,34.376065622708786,SE,Winter,Dec,low,48.021763
A,15.7,31.104,36.87677478576078,37.61171843373944,37.18054899397625,30.567841394505574,34.12269452804642,SE,Winter,Dec,low,45.667408
A,10.4,29.672,36.692776386970195,37.57049502072321,37.16899791604441,30.24958597766684,33.867007390170414,SE,Winter,Dec,low,41.699715
A,9.0,28.9291,36.50877798817961,37.526131280009224,37.15142789357317,29.928499025220376,33.60900420908077,SE,Winter,Dec,low,40.304306
A,10.0,35.3709,36.32477958938903,37.478627211597484,37.12783892656252,29.604580537166175,33.34868498477749,SE,Winter,Dec,low,40.609997
A,9.0,35.8697,36.140781190598446,37.427982815487994,37.09823101501246,29.27783051350424,33.08604971726057,SE,Winter,Dec,low,39.49247
A,7.2,37.5728,35.956782791807875,37.374198091680746,37.062604158923,28.948248954234575,32.82109840653002,SE,Winter,Dec,low,37.78766
A,7.5,37.5728,35.7727843930173,37.317273040175756,37.02095835829413,28.615835859357176,32.55383105258582,SE,Winter,Dec,low,37.54377
A,7.0,40.4191,35.58878599422671,37.25720766097301,36.973293613125854,28.28059122887204,32.28424765542799,SE,Winter,Dec,low,36.659424
A,9.0,40.4191,35.40478759543613,37.19400195407251,36.91960992341817,27.94251506277917,32.01234821505652,SE,Winter,Dec,low,37.5051
